Rider Type,Season,Working Day,Hour,Avg Riders
Casual,Winter,Yes,0,2
Casual,Winter,Yes,1,1
Casual,Winter,Yes,2,1
Casual,Winter,Yes,3,0
Casual,Winter,Yes,4,0
Casual,Winter,Yes,5,0
Casual,Winter,Yes,6,2
Casual,Winter,Yes,7,5
Casual,Winter,Yes,8,10
Casual,Winter,Yes,9,10
Casual,Winter,Yes,10,12
Casual,Winter,Yes,11,16
Casual,Winter,Yes,12,18
Casual,Winter,Yes,13,18
Casual,Winter,Yes,14,20
Casual,Winter,Yes,15,21
Casual,Winter,Yes,16,21
Casual,Winter,Yes,17,24
Casual,Winter,Yes,18,19
Casual,Winter,Yes,19,13
Casual,Winter,Yes,20,10
Casual,Winter,Yes,21,8
Casual,Winter,Yes,22,7
Casual,Winter,Yes,23,4
Casual,Spring,Yes,0,10
Casual,Spring,Yes,1,5
Casual,Spring,Yes,2,3
Casual,Spring,Yes,3,1
Casual,Spring,Yes,4,1
Casual,Spring,Yes,5,1
Casual,Spring,Yes,6,6
Casual,Spring,Yes,7,16
Casual,Spring,Yes,8,27
Casual,Spring,Yes,9,32
Casual,Spring,Yes,10,39
Casual,Spring,Yes,11,48
Casual,Spring,Yes,12,51
Casual,Spring,Yes,13,55
Casual,Spring,Yes,14,59
Casual,Spring,Yes,15,60
Casual,Spring,Yes,16,62
Casual,Spring,Yes,17,75
Casual,Spring,Yes,18,70
Casual,Spring,Yes,19,56
Casual,Spring,Yes,20,42
Casual,Spring,Yes,21,32
Casual,Spring,Yes,22,24
Casual,Spring,Yes,23,18
Casual,Summer,Yes,0,11
Casual,Summer,Yes,1,5
Casual,Summer,Yes,2,3
Casual,Summer,Yes,3,1
Casual,Summer,Yes,4,1
Casual,Summer,Yes,5,3
Casual,Summer,Yes,6,7
Casual,Summer,Yes,7,18
Casual,Summer,Yes,8,32
Casual,Summer,Yes,9,35
Casual,Summer,Yes,10,47
Casual,Summer,Yes,11,55
Casual,Summer,Yes,12,59
Casual,Summer,Yes,13,60
Casual,Summer,Yes,14,61
Casual,Summer,Yes,15,59
Casual,Summer,Yes,16,67
Casual,Summer,Yes,17,83
Casual,Summer,Yes,18,77
Casual,Summer,Yes,19,70
Casual,Summer,Yes,20,53
Casual,Summer,Yes,21,42
Casual,Summer,Yes,22,33
Casual,Summer,Yes,23,22
Casual,Fall,Yes,0,5
Casual,Fall,Yes,1,2
Casual,Fall,Yes,2,2
Casual,Fall,Yes,3,1
Casual,Fall,Yes,4,1
Casual,Fall,Yes,5,1
Casual,Fall,Yes,6,3
Casual,Fall,Yes,7,8
Casual,Fall,Yes,8,18
